"TKT_BEG","STOP_NAME","啟用日期","廢站日期"
1,"舊台東","NA",20010531
2,"馬蘭","NA",20010801
11,"月美","NA",20130626
23,"安通","NA",20070330
30,"瑞北","NA",20030823
38,"林榮新光",20180710,"NA"
39,"溪口","NA",20131114
44,"干城","NA",19940401
210,"古莊","NA",20171001
214,"多良","NA",20061001
216,"香蘭","NA",19970219
227,"大村",20061001,"NA"
228,"嘉北",20050908,"NA"
237,"北新竹",20111111,"NA"
238,"千甲",20111111,"NA"
239,"新莊",20111111,"NA"
240,"六家",20111111,"NA"
261,"百福",20070508,"NA"
262,"汐科",20071230,"NA"
264,"浮洲",20110902,"NA"
265,"南樹林",20151223,"NA"
270,"新富",20170906,"NA"
271,"北湖",20120928,"NA"
273,"三姓橋",20160629,"NA"
275,"栗林",20181028,"NA"
276,"頭家厝",20181028,"NA"
277,"松竹",20181028,"NA"
278,"精武",20181028,"NA"
279,"五權",20181028,"NA"
280,"新烏日",20061201,"NA"
281,"仁德",20140110,"NA"
282,"南科",20100714,"NA"
283,"長榮大學",20110102,"NA"
284,"沙崙",20110102,"NA"
288,"新左營",20061201,"NA"
290,"深澳","NA",19890821
291,"海科館",20140109,"NA"
292,"八斗子",20161228,"NA"
332,"內惟",20181014,"NA"
333,"美術館",20181014,"NA"
334,"鼓山",20181014,"NA"
336,"三塊厝",20181014,"NA"
337,"民族",20181014,"NA"
338,"科工館",20181014,"NA"
339,"正義",20181014,"NA"
